review,task
I like it a lot,RT
Very helpful in planning trip.,RT
Such a Amazing Apps	Superb apps,RT
I wanted an App that would separate my videos from my photo library.  I wanted to be able to play my photo slideshow without interruption from annoying videos.  The music stops and you have to start it over. Now the videos are on this app and I can play right through all my pictures.  Love it!,UE
Andrew	Excellent scanning app.,RT
Was great	It was great until apparently it updated on the 27th and now every time I try to use it I get a message the it has stopped working and it force closes! Please fix!,PD
Use Evernote all the time to keep track of my lifeawesome,RT
"I have used this App for over 8 months, and is by far, the best golf GPS for the money. I had a sky caddie before, and it was not half as good as this app. Don't waste your money on any of the annual dues GPS units, buy this app and have everything you need. 

I have the iPhone 4, and only uses about half the battery during a 4 1/2 to 5 1/2 hour round. Turn off your Wi-fi if it is using more battery life than that. 

Anyway, must have for all serious golfers.",RT
"Cant think of any specific complaints, but there is always room for a more robust interface",RT
Bookmarks do not work. Bookmark your favorite dispensary and it takes you to some other random place. The overall performance is buggy and crashes.,PD
Satisfactory	I think its better than other pics edit app#Thumbs up guys,RT
Can't do wo it,RT
There's so many cool selections??,RT
"Samsung galaxy tab	Whoa this game is awesome! I completed the adventure mode but I still play it as they add a twist the second time you play it. I dont know what all this paying for the zen garden is about as it is freeand you unlock plants by playing more! Im 12 this is a great game and the minigames are grear, just a bit expensive for the miningames.",RT
"Have been using Evernote forfiver a year now very easy-to-use program, love the syncing with my desktop, phone, iPad, etc",UE
Memr	Cool,RT
At 47 my eyes are not that good. This really works very well.,RT
It guesses is every time! Got all of one direction even Cher Lloyd! I love this app??????,UE
Great application Wow!,RT
Fun,RT
very good app	no,RT
Makes finding hard-to-find deals easy,UE
Best Cross Platform App Ever!	The idea of a seamlessly connected world brought to life Simply brilliant!,UE
Nice and Awesome	I really love this appits easy to use and yet the result is goodthanks for the cool app !!,RT
"Excellent	Too many features, enjoying the application.... easy to use.... more options",RT
Nice	It works correctly,RT
Continues to amaze . . . with information  and views of stellar objects.,UE
"I love having my nook on my iPad and I love having so many books always with me. Sometimes, though, I wish I could get certain books they don't have.",PD
Bezt app ever.. And very convenient for local and international text,UE
awesme wrk	this app is a nce wrk!!!!! its best photo editng app!! still u can improve a bit bt other wise great job desreves 5 star,RT
This is a great little app especially for those with hectic schedules it keeps you in like for visual people like me.,RT
Its good	It s a nice app,RT
"Excellent for keeping visual ideas	I really use this to keep recipes,  and fashion ideas, but overall great app",RT
"Addicted	Good game,  ducked me in...got  new phone. . .trying to recover doc isn't easy",RT
I love all the great things I find and the ease of pinning them	-),RT
Very good app	I wish it can work with two number in same phone or work with dual sim card for both number when it will be Work for dual sim card mobile plz,RT
Stella	Love it So addictive,RT
"It's wonerful I keep recipes, receipts, , knitting patterns, copies of postcards and greeting cards from friends, car maintenance records, appliance manuals, parts numbers for appliance parts, and many other things I keep schedules for my favorite sports teams, information about attractions I would like to visit the next time I travel to various cities, I keep business cards and journal articles that I use at work Easy to search for information when I need it",UE
Awesome! The real deal!,RT
summer	ok,RT
Best gr8	Like it nice good job plz add more frame for free pack,RT
I love pasting notes to ever note I paste my passwords I paste copies of receipts and anything that I need to locate later and I can easily find it in one location the search option is very handy as well I WISH THE INSTRUCTIONS WERE CLEARER,FR
The upgrade keeps crashing and I can't even get it to work!!!!,PD
Slick!,RT
I love this app using it for a long time a year works great but started to show wrong stars even after I adjust them with moon it happen after your new update please fix it,PD
Great app to have!,RT
"Its a start!	Ive been hounding facebook for about a year to develop this app for Android ever since the ios app released so far it's a start and most of us know that.  Keep up the good work, make just as if not better than the ios app.",RT
"I love this app on my phone and iPad, too. It's accurate and easy to add/delete cities. I love the graphics, too",RT
Works perfect and picks up a ton of stations that are really far.,RT
Awesome	I love this appit's so addictive!,RT
Told me I was 31 when in 13 very sad app lowers self asteem lol don't get this app it is misleading and very inaccurate do not waste ur time,RT
Superb	Best in the worldwide,RT
Continues to amaze . . . with information  and views of stellar objects.,RT
Performs better than other services that I have tried,RT
Awesome	I love this app,RT
The app is great! Whoever created the app for the post office did a wonderful job!,RT
Road trip Use it every step of the way!!!!,RT
This is a very beautiful app and worthy of ever cent. The only thing is my app crashes every time I try to select for info for a planet. Maybe it is because the brand new iOS 4. NEEDS AN UPDATE!!!,PD
This is a great app ...,RT
