,column0,task,column2,app,meta_rating,review,app_name
0,3,UE,None,1,3,Good game but Paying for it only reduces the amount of ads. Seriously?,Angrybirds
1,13,RT,None,1,5,Fun Fun and addictive... Love it!,Angrybirds
2,36,UE,None,1,1,"Angry Birds I have been a fan of Angry Birds since the beginning. But this is ridiculous. The recent updates have flooded the game with more ads and iAP purchases than necessary. Clearly showing your greed, Rovio. Cut it back by 80000 notches. I have started to avoid any app that offers iAP purchases. Not that I don't appreciate the addition of powerups, but if you want more money, don't include iAP purchases, raise the price of your game! If it's a good game, people will buy it no matter the cost. Take this advice, Rovio. People will be more inclined to support you if you're not milking every dime you can out of them.",Angrybirds
3,36,RT,None,1,1,"Angry Birds I have been a fan of Angry Birds since the beginning. But this is ridiculous. The recent updates have flooded the game with more ads and iAP purchases than necessary. Clearly showing your greed, Rovio. Cut it back by 80000 notches. I have started to avoid any app that offers iAP purchases. Not that I don't appreciate the addition of powerups, but if you want more money, don't include iAP purchases, raise the price of your game! If it's a good game, people will buy it no matter the cost. Take this advice, Rovio. People will be more inclined to support you if you're not milking every dime you can out of them.",Angrybirds
4,38,RT,None,1,1,"Hey! I updated and it's a very poor update! I updated my iOS software and it's not that or my phone. You said we were to get ""the new shock wave and unless that was a mislead, all I got was the first ones, the crappy update and crashes.Please update again. I know you can do better, Rovio!Glad to see I'm not the only one dissatisfied.",Angrybirds
5,48,UE,None,1,4,"Granny Still like the game, the pop up adds, not so much.",Angrybirds
6,48,RT,None,1,4,"Granny Still like the game, the pop up adds, not so much.",Angrybirds
7,65,PD,None,1,3,Angry Birds The game gets stuck till i when i have to restart it again.Fix this!,Angrybirds
8,108,UE,None,1,5,Love this new update It just make angry bird more fun with the electric shock I can't wait for a new episode of the game,Angrybirds
9,108,RT,None,1,5,Love this new update It just make angry bird more fun with the electric shock I can't wait for a new episode of the game,Angrybirds
10,113,UE,None,1,3,"Not liking update! The game is fun for anyone, however the update no longer lets you listen to music (iTunes).  I used to play on long flights and enjoyed the ability to listen to my tunes but, I no longer play on planes or that often.  :(",Angrybirds
